00001 A00     0 Cholera                                                      Cholera
08620 H20041  1 Secondary noninfectious iridocyclitis, right eye             Secondary noninfectious iridocyclitis, right eye
08621 H20042  1 Secondary noninfectious iridocyclitis, left eye              Secondary noninfectious iridocyclitis, left eye
08622 H20043  1 Secondary noninfectious iridocyclitis, bilateral             Secondary noninfectious iridocyclitis, bilateral
08623 H20049  1 Secondary noninfectious iridocyclitis, unspecified eye       Secondary noninfectious iridocyclitis, unspecified eye
08624 H2005   0 Hypopyon                                                     Hypopyon
08625 H20051  1 Hypopyon, right eye                                          Hypopyon, right eye
08626 H20052  1 Hypopyon, left eye                                           Hypopyon, left eye
08627 H20053  1 Hypopyon, bilateral                                          Hypopyon, bilateral
08628 H20059  1 Hypopyon, unspecified eye                                    Hypopyon, unspecified eye
08629 H201    0 Chronic iridocyclitis                                        Chronic iridocyclitis
08630 H2010   1 Chronic iridocyclitis, unspecified eye                       Chronic iridocyclitis, unspecified eye
08631 H2011   1 Chronic iridocyclitis, right eye                             Chronic iridocyclitis, right eye
08632 H2012   1 Chronic iridocyclitis, left eye                              Chronic iridocyclitis, left eye
08633 H2013   1 Chronic iridocyclitis, bilateral                             Chronic iridocyclitis, bilateral
08634 H202    0 Lens-induced iridocyclitis                                   Lens-induced iridocyclitis
08635 H2020   1 Lens-induced iridocyclitis, unspecified eye                  Lens-induced iridocyclitis, unspecified eye
08636 H2021   1 Lens-induced iridocyclitis, right eye                        Lens-induced iridocyclitis, right eye
08637 H2022   1 Lens-induced iridocyclitis, left eye                         Lens-induced iridocyclitis, left eye
08638 H2023   1 Lens-induced iridocyclitis, bilateral                        Lens-induced iridocyclitis, bilateral
08639 H208    0 Other iridocyclitis                                          Other iridocyclitis
08640 H2081   0 Fuchs' heterochromic cyclitis                                Fuchs' heterochromic cyclitis
08641 H20811  1 Fuchs' heterochromic cyclitis, right eye                     Fuchs' heterochromic cyclitis, right eye
08642 H20812  1 Fuchs' heterochromic cyclitis, left eye                      Fuchs' heterochromic cyclitis, left eye
08643 H20813  1 Fuchs' heterochromic cyclitis, bilateral                     Fuchs' heterochromic cyclitis, bilateral
08644 H20819  1 Fuchs' heterochromic cyclitis, unspecified eye               Fuchs' heterochromic cyclitis, unspecified eye
08645 H2082   0 Vogt-Koyanagi syndrome                                       Vogt-Koyanagi syndrome
08646 H20821  1 Vogt-Koyanagi syndrome, right eye                            Vogt-Koyanagi syndrome, right eye
08647 H20822  1 Vogt-Koyanagi syndrome, left eye                             Vogt-Koyanagi syndrome, left eye
08648 H20823  1 Vogt-Koyanagi syndrome, bilateral                            Vogt-Koyanagi syndrome, bilateral
08649 H20829  1 Vogt-Koyanagi syndrome, unspecified eye                      Vogt-Koyanagi syndrome, unspecified eye
08650 H209    1 Unspecified iridocyclitis                                    Unspecified iridocyclitis
08651 H21     0 Other disorders of iris and ciliary body                     Other disorders of iris and ciliary body
08652 H210    0 Hyphema                                                      Hyphema
08653 H2100   1 Hyphema, unspecified eye                                     Hyphema, unspecified eye
08654 H2101   1 Hyphema, right eye                                           Hyphema, right eye
08655 H2102   1 Hyphema, left eye                                            Hyphema, left eye
08656 H2103   1 Hyphema, bilateral                                           Hyphema, bilateral
08657 H211    0 Other vascular disorders of iris and ciliary body            Other vascular disorders of iris and ciliary body
08658 H211X   0 Other vascular disorders of iris and ciliary body            Other vascular disorders of iris and ciliary body
08659 H211X1  1 Other vascular disorders of iris and ciliary body, right eye Other vascular disorders of iris and ciliary body, right eye
08660 H211X2  1 Other vascular disorders of iris and ciliary body, left eye  Other vascular disorders of iris and ciliary body, left eye
08661 H211X3  1 Other vascular disorders of iris and ciliary body, bilateral Other vascular disorders of iris and ciliary body, bilateral
08662 H211X9  1 Other vascular disorders of iris and ciliary body, unsp eye  Other vascular disorders of iris and ciliary body, unspecified eye
08663 H212    0 Degeneration of iris and ciliary body                        Degeneration of iris and ciliary body
08664 H2121   0 Degeneration of chamber angle                                Degeneration of chamber angle
08665 H21211  1 Degeneration of chamber angle, right eye                     Degeneration of chamber angle, right eye
08666 H21212  1 Degeneration of chamber angle, left eye                      Degeneration of chamber angle, left eye
08667 H21213  1 Degeneration of chamber angle, bilateral                     Degeneration of chamber angle, bilateral
08668 H21219  1 Degeneration of chamber angle, unspecified eye               Degeneration of chamber angle, unspecified eye
08669 H2122   0 Degeneration of ciliary body                                 Degeneration of ciliary body
08670 H21221  1 Degeneration of ciliary body, right eye                      Degeneration of ciliary body, right eye
08671 H21222  1 Degeneration of ciliary body, left eye                       Degeneration of ciliary body, left eye
08672 H21223  1 Degeneration of ciliary body, bilateral                      Degeneration of ciliary body, bilateral
08673 H21229  1 Degeneration of ciliary body, unspecified eye                Degeneration of ciliary body, unspecified eye
08674 H2123   0 Degeneration of iris (pigmentary)                            Degeneration of iris (pigmentary)
08675 H21231  1 Degeneration of iris (pigmentary), right eye                 Degeneration of iris (pigmentary), right eye
08676 H21232  1 Degeneration of iris (pigmentary), left eye                  Degeneration of iris (pigmentary), left eye
08677 H21233  1 Degeneration of iris (pigmentary), bilateral                 Degeneration of iris (pigmentary), bilateral
08678 H21239  1 Degeneration of iris (pigmentary), unspecified eye           Degeneration of iris (pigmentary), unspecified eye
08679 H2124   0 Degeneration of pupillary margin                             Degeneration of pupillary margin
08680 H21241  1 Degeneration of pupillary margin, right eye                  Degeneration of pupillary margin, right eye
08681 H21242  1 Degeneration of pupillary margin, left eye                   Degeneration of pupillary margin, left eye
08682 H21243  1 Degeneration of pupillary margin, bilateral                  Degeneration of pupillary margin, bilateral
08683 H21249  1 Degeneration of pupillary margin, unspecified eye            Degeneration of pupillary margin, unspecified eye
08684 H2125   0 Iridoschisis                                                 Iridoschisis
08685 H21251  1 Iridoschisis, right eye                                      Iridoschisis, right eye
08686 H21252  1 Iridoschisis, left eye                                       Iridoschisis, left eye
08687 H21253  1 Iridoschisis, bilateral                                      Iridoschisis, bilateral
08688 H21259  1 Iridoschisis, unspecified eye                                Iridoschisis, unspecified eye
08689 H2126   0 Iris atrophy (essential) (progressive)                       Iris atrophy (essential) (progressive)
08690 H21261  1 Iris atrophy (essential) (progressive), right eye            Iris atrophy (essential) (progressive), right eye
08691 H21262  1 Iris atrophy (essential) (progressive), left eye             Iris atrophy (essential) (progressive), left eye
08692 H21263  1 Iris atrophy (essential) (progressive), bilateral            Iris atrophy (essential) (progressive), bilateral
08693 H21269  1 Iris atrophy (essential) (progressive), unspecified eye      Iris atrophy (essential) (progressive), unspecified eye
08694 H2127   0 Miotic pupillary cyst                                        Miotic pupillary cyst
08695 H21271  1 Miotic pupillary cyst, right eye                             Miotic pupillary cyst, right eye
08696 H21272  1 Miotic pupillary cyst, left eye                              Miotic pupillary cyst, left eye
08697 H21273  1 Miotic pupillary cyst, bilateral                             Miotic pupillary cyst, bilateral
08698 H21279  1 Miotic pupillary cyst, unspecified eye                       Miotic pupillary cyst, unspecified eye
08699 H2129   1 Other iris atrophy                                           Other iris atrophy
08700 H213    0 Cyst of iris, ciliary body and anterior chamber              Cyst of iris, ciliary body and anterior chamber
08701 H2130   0 Idiopathic cysts of iris, ciliary body or anterior chamber   Idiopathic cysts of iris, ciliary body or anterior chamber
08702 H21301  1 Idio cysts of iris, ciliary body or ant chamber, right eye   Idiopathic cysts of iris, ciliary body or anterior chamber, right eye
08703 H21302  1 Idio cysts of iris, ciliary body or ant chamber, left eye    Idiopathic cysts of iris, ciliary body or anterior chamber, left eye
08704 H21303  1 Idio cysts of iris, ciliary body or ant chamber, bilateral   Idiopathic cysts of iris, ciliary body or anterior chamber, bilateral
08705 H21309  1 Idio cysts of iris, ciliary body or ant chamber, unsp eye    Idiopathic cysts of iris, ciliary body or anterior chamber, unspecified eye
08706 H2131   0 Exudative cysts of iris or anterior chamber                  Exudative cysts of iris or anterior chamber
08707 H21311  1 Exudative cysts of iris or anterior chamber, right eye       Exudative cysts of iris or anterior chamber, right eye
08708 H21312  1 Exudative cysts of iris or anterior chamber, left eye        Exudative cysts of iris or anterior chamber, left eye
08709 H21313  1 Exudative cysts of iris or anterior chamber, bilateral       Exudative cysts of iris or anterior chamber, bilateral
08710 H21319  1 Exudative cysts of iris or anterior chamber, unspecified eye Exudative cysts of iris or anterior chamber, unspecified eye
08711 H2132   0 Implantation cysts of iris, ciliary body or anterior chamber Implantation cysts of iris, ciliary body or anterior chamber
08712 H21321  1 Implant cysts of iris, ciliary body or ant chamber, r eye    Implantation cysts of iris, ciliary body or anterior chamber, right eye
08713 H21322  1 Implant cysts of iris, ciliary body or ant chamber, left eye Implantation cysts of iris, ciliary body or anterior chamber, left eye
08714 H21323  1 Implant cysts of iris, ciliary body or ant chamber, bi       Implantation cysts of iris, ciliary body or anterior chamber, bilateral
08715 H21329  1 Implant cysts of iris, ciliary body or ant chamber, unsp eye Implantation cysts of iris, ciliary body or anterior chamber, unspecified eye
08716 H2133   0 Parasitic cyst of iris, ciliary body or anterior chamber     Parasitic cyst of iris, ciliary body or anterior chamber
08717 H21331  1 Parastc cyst of iris, ciliary body or ant chamber, right eye Parasitic cyst of iris, ciliary body or anterior chamber, right eye
08718 H21332  1 Parastc cyst of iris, ciliary body or ant chamber, left eye  Parasitic cyst of iris, ciliary body or anterior chamber, left eye
08719 H21333  1 Parasitic cyst of iris, ciliary body or ant chamber, bi      Parasitic cyst of iris, ciliary body or anterior chamber, bilateral
08720 H21339  1 Parastc cyst of iris, ciliary body or ant chamber, unsp eye  Parasitic cyst of iris, ciliary body or anterior chamber, unspecified eye
08721 H2134   0 Primary cyst of pars plana                                   Primary cyst of pars plana
08722 H21341  1 Primary cyst of pars plana, right eye                        Primary cyst of pars plana, right eye
08723 H21342  1 Primary cyst of pars plana, left eye                         Primary cyst of pars plana, left eye
08724 H21343  1 Primary cyst of pars plana, bilateral                        Primary cyst of pars plana, bilateral
08725 H21349  1 Primary cyst of pars plana, unspecified eye                  Primary cyst of pars plana, unspecified eye
08726 H2135   0 Exudative cyst of pars plana                                 Exudative cyst of pars plana
08727 H21351  1 Exudative cyst of pars plana, right eye                      Exudative cyst of pars plana, right eye
08728 H21352  1 Exudative cyst of pars plana, left eye                       Exudative cyst of pars plana, left eye
08729 H21353  1 Exudative cyst of pars plana, bilateral                      Exudative cyst of pars plana, bilateral
08730 H21359  1 Exudative cyst of pars plana, unspecified eye                Exudative cyst of pars plana, unspecified eye
08731 H214    0 Pupillary membranes                                          Pupillary membranes
08732 H2140   1 Pupillary membranes, unspecified eye                         Pupillary membranes, unspecified eye
08733 H2141   1 Pupillary membranes, right eye                               Pupillary membranes, right eye
08734 H2142   1 Pupillary membranes, left eye                                Pupillary membranes, left eye
08735 H2143   1 Pupillary membranes, bilateral                               Pupillary membranes, bilateral
08736 H215    0 Oth and unsp adhes and disruptions of iris and ciliary body  Other and unspecified adhesions and disruptions of iris and ciliary body
08737 H2150   0 Unspecified adhesions of iris                                Unspecified adhesions of iris
08738 H21501  1 Unspecified adhesions of iris, right eye                     Unspecified adhesions of iris, right eye
08739 H21502  1 Unspecified adhesions of iris, left eye                      Unspecified adhesions of iris, left eye
08740 H21503  1 Unspecified adhesions of iris, bilateral                     Unspecified adhesions of iris, bilateral
08741 H21509  1 Unsp adhesions of iris and ciliary body, unspecified eye     Unspecified adhesions of iris and ciliary body, unspecified eye
08742 H2151   0 Anterior synechiae (iris)                                    Anterior synechiae (iris)
08743 H21511  1 Anterior synechiae (iris), right eye                         Anterior synechiae (iris), right eye
08744 H21512  1 Anterior synechiae (iris), left eye                          Anterior synechiae (iris), left eye
08745 H21513  1 Anterior synechiae (iris), bilateral                         Anterior synechiae (iris), bilateral
08746 H21519  1 Anterior synechiae (iris), unspecified eye                   Anterior synechiae (iris), unspecified eye
08747 H2152   0 Goniosynechiae                                               Goniosynechiae
08748 H21521  1 Goniosynechiae, right eye                                    Goniosynechiae, right eye
08749 H21522  1 Goniosynechiae, left eye                                     Goniosynechiae, left eye
08750 H21523  1 Goniosynechiae, bilateral                                    Goniosynechiae, bilateral
08751 H21529  1 Goniosynechiae, unspecified eye                              Goniosynechiae, unspecified eye
08752 H2153   0 Iridodialysis                                                Iridodialysis
08753 H21531  1 Iridodialysis, right eye                                     Iridodialysis, right eye
08754 H21532  1 Iridodialysis, left eye                                      Iridodialysis, left eye
08755 H21533  1 Iridodialysis, bilateral                                     Iridodialysis, bilateral
08756 H21539  1 Iridodialysis, unspecified eye                               Iridodialysis, unspecified eye
08757 H2154   0 Posterior synechiae (iris)                                   Posterior synechiae (iris)
08758 H21541  1 Posterior synechiae (iris), right eye                        Posterior synechiae (iris), right eye
08759 H21542  1 Posterior synechiae (iris), left eye                         Posterior synechiae (iris), left eye
08760 H21543  1 Posterior synechiae (iris), bilateral                        Posterior synechiae (iris), bilateral
08761 H21549  1 Posterior synechiae (iris), unspecified eye                  Posterior synechiae (iris), unspecified eye
08762 H2155   0 Recession of chamber angle                                   Recession of chamber angle
08763 H21551  1 Recession of chamber angle, right eye                        Recession of chamber angle, right eye
08764 H21552  1 Recession of chamber angle, left eye                         Recession of chamber angle, left eye
08765 H21553  1 Recession of chamber angle, bilateral                        Recession of chamber angle, bilateral
08766 H21559  1 Recession of chamber angle, unspecified eye                  Recession of chamber angle, unspecified eye
08767 H2156   0 Pupillary abnormalities                                      Pupillary abnormalities
08768 H21561  1 Pupillary abnormality, right eye                             Pupillary abnormality, right eye
08769 H21562  1 Pupillary abnormality, left eye                              Pupillary abnormality, left eye
08770 H21563  1 Pupillary abnormality, bilateral                             Pupillary abnormality, bilateral
08771 H21569  1 Pupillary abnormality, unspecified eye                       Pupillary abnormality, unspecified eye
08772 H218    0 Other specified disorders of iris and ciliary body           Other specified disorders of iris and ciliary body
08773 H2181   1 Floppy iris syndrome                                         Floppy iris syndrome
08774 H2182   1 Plateau iris syndrome (post-iridectomy) (postprocedural)     Plateau iris syndrome (post-iridectomy) (postprocedural)
08775 H2189   1 Other specified disorders of iris and ciliary body           Other specified disorders of iris and ciliary body
08776 H219    1 Unspecified disorder of iris and ciliary body                Unspecified disorder of iris and ciliary body
08777 H22     1 Disorders of iris and ciliary body in diseases classd elswhr Disorders of iris and ciliary body in diseases classified elsewhere
08778 H25     0 Age-related cataract                                         Age-related cataract
08779 H250    0 Age-related incipient cataract                               Age-related incipient cataract
08780 H2501   0 Cortical age-related cataract                                Cortical age-related cataract
08781 H25011  1 Cortical age-related cataract, right eye                     Cortical age-related cataract, right eye
08782 H25012  1 Cortical age-related cataract, left eye                      Cortical age-related cataract, left eye
08783 H25013  1 Cortical age-related cataract, bilateral                     Cortical age-related cataract, bilateral
08784 H25019  1 Cortical age-related cataract, unspecified eye               Cortical age-related cataract, unspecified eye
08785 H2503   0 Anterior subcapsular polar age-related cataract              Anterior subcapsular polar age-related cataract
08786 H25031  1 Anterior subcapsular polar age-related cataract, right eye   Anterior subcapsular polar age-related cataract, right eye
08787 H25032  1 Anterior subcapsular polar age-related cataract, left eye    Anterior subcapsular polar age-related cataract, left eye
08788 H25033  1 Anterior subcapsular polar age-related cataract, bilateral   Anterior subcapsular polar age-related cataract, bilateral
08789 H25039  1 Anterior subcapsular polar age-related cataract, unsp eye    Anterior subcapsular polar age-related cataract, unspecified eye
08790 H2504   0 Posterior subcapsular polar age-related cataract             Posterior subcapsular polar age-related cataract
08791 H25041  1 Posterior subcapsular polar age-related cataract, right eye  Posterior subcapsular polar age-related cataract, right eye
08792 H25042  1 Posterior subcapsular polar age-related cataract, left eye   Posterior subcapsular polar age-related cataract, left eye
08793 H25043  1 Posterior subcapsular polar age-related cataract, bilateral  Posterior subcapsular polar age-related cataract, bilateral
08794 H25049  1 Posterior subcapsular polar age-related cataract, unsp eye   Posterior subcapsular polar age-related cataract, unspecified eye
08795 H2509   0 Other age-related incipient cataract                         Other age-related incipient cataract
08796 H25091  1 Other age-related incipient cataract, right eye              Other age-related incipient cataract, right eye
08797 H25092  1 Other age-related incipient cataract, left eye               Other age-related incipient cataract, left eye
08798 H25093  1 Other age-related incipient cataract, bilateral              Other age-related incipient cataract, bilateral
08799 H25099  1 Other age-related incipient cataract, unspecified eye        Other age-related incipient cataract, unspecified eye
08800 H251    0 Age-related nuclear cataract                                 Age-related nuclear cataract
08801 H2510   1 Age-related nuclear cataract, unspecified eye                Age-related nuclear cataract, unspecified eye
08802 H2511   1 Age-related nuclear cataract, right eye                      Age-related nuclear cataract, right eye
08803 H2512   1 Age-related nuclear cataract, left eye                       Age-related nuclear cataract, left eye
08804 H2513   1 Age-related nuclear cataract, bilateral                      Age-related nuclear cataract, bilateral
08805 H252    0 Age-related cataract, morgagnian type                        Age-related cataract, morgagnian type
08806 H2520   1 Age-related cataract, morgagnian type, unspecified eye       Age-related cataract, morgagnian type, unspecified eye
08807 H2521   1 Age-related cataract, morgagnian type, right eye             Age-related cataract, morgagnian type, right eye
08808 H2522   1 Age-related cataract, morgagnian type, left eye              Age-related cataract, morgagnian type, left eye
08809 H2523   1 Age-related cataract, morgagnian type, bilateral             Age-related cataract, morgagnian type, bilateral
08810 H258    0 Other age-related cataract                                   Other age-related cataract
08811 H2581   0 Combined forms of age-related cataract                       Combined forms of age-related cataract
08812 H25811  1 Combined forms of age-related cataract, right eye            Combined forms of age-related cataract, right eye
08813 H25812  1 Combined forms of age-related cataract, left eye             Combined forms of age-related cataract, left eye
08814 H25813  1 Combined forms of age-related cataract, bilateral            Combined forms of age-related cataract, bilateral
08815 H25819  1 Combined forms of age-related cataract, unspecified eye      Combined forms of age-related cataract, unspecified eye
08816 H2589   1 Other age-related cataract                                   Other age-related cataract
08817 H259    1 Unspecified age-related cataract                             Unspecified age-related cataract
08818 H26     0 Other cataract                                               Other cataract
08819 H260    0 Infantile and juvenile cataract                              Infantile and juvenile cataract
08820 H2600   0 Unspecified infantile and juvenile cataract                  Unspecified infantile and juvenile cataract
08821 H26001  1 Unspecified infantile and juvenile cataract, right eye       Unspecified infantile and juvenile cataract, right eye
08822 H26002  1 Unspecified infantile and juvenile cataract, left eye        Unspecified infantile and juvenile cataract, left eye
08823 H26003  1 Unspecified infantile and juvenile cataract, bilateral       Unspecified infantile and juvenile cataract, bilateral
08824 H26009  1 Unspecified infantile and juvenile cataract, unspecified eye Unspecified infantile and juvenile cataract, unspecified eye
08825 H2601   0 Infantile and juvenile cortical/lamellar/zonular cataract    Infantile and juvenile cortical, lamellar, or zonular cataract
08826 H26011  1 Infantile and juv cortical/lamellar/zonular cataract, r eye  Infantile and juvenile cortical, lamellar, or zonular cataract, right eye
08827 H26012  1 Infantile and juv cortical/lamellar/zonular cataract, l eye  Infantile and juvenile cortical, lamellar, or zonular cataract, left eye
08828 H26013  1 Infantile and juv cortical/lamellar/zonular cataract, bi     Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral
08829 H26019  1 Infantile & juv cortical/lamellar/zonular cataract, unsp eye Infantile and juvenile cortical, lamellar, or zonular cataract, unspecified eye
08830 H2603   0 Infantile and juvenile nuclear cataract                      Infantile and juvenile nuclear cataract
08831 H26031  1 Infantile and juvenile nuclear cataract, right eye           Infantile and juvenile nuclear cataract, right eye
08832 H26032  1 Infantile and juvenile nuclear cataract, left eye            Infantile and juvenile nuclear cataract, left eye
08833 H26033  1 Infantile and juvenile nuclear cataract, bilateral           Infantile and juvenile nuclear cataract, bilateral
08834 H26039  1 Infantile and juvenile nuclear cataract, unspecified eye     Infantile and juvenile nuclear cataract, unspecified eye
08835 H2604   0 Anterior subcapsular polar infantile and juvenile cataract   Anterior subcapsular polar infantile and juvenile cataract
08836 H26041  1 Ant subcapsular polar infantile and juvenile cataract, r eye Anterior subcapsular polar infantile and juvenile cataract, right eye
08837 H26042  1 Ant subcapsular polar infantile and juv cataract, left eye   Anterior subcapsular polar infantile and juvenile cataract, left eye
08838 H26043  1 Ant subcapsular polar infantile and juvenile cataract, bi    Anterior subcapsular polar infantile and juvenile cataract, bilateral
08839 H26049  1 Ant subcapsular polar infantile and juv cataract, unsp eye   Anterior subcapsular polar infantile and juvenile cataract, unspecified eye
08840 H2605   0 Posterior subcapsular polar infantile and juvenile cataract  Posterior subcapsular polar infantile and juvenile cataract
08841 H26051  1 Post subcapsular polar infantile and juv cataract, r eye     Posterior subcapsular polar infantile and juvenile cataract, right eye
08842 H26052  1 Post subcapsular polar infantile and juv cataract, left eye  Posterior subcapsular polar infantile and juvenile cataract, left eye
08843 H26053  1 Post subcapsular polar infantile and juvenile cataract, bi   Posterior subcapsular polar infantile and juvenile cataract, bilateral
08844 H26059  1 Post subcapsular polar infantile and juv cataract, unsp eye  Posterior subcapsular polar infantile and juvenile cataract, unspecified eye
08845 H2606   0 Combined forms of infantile and juvenile cataract            Combined forms of infantile and juvenile cataract
08846 H26061  1 Combined forms of infantile and juvenile cataract, right eye Combined forms of infantile and juvenile cataract, right eye
08847 H26062  1 Combined forms of infantile and juvenile cataract, left eye  Combined forms of infantile and juvenile cataract, left eye
08848 H26063  1 Combined forms of infantile and juvenile cataract, bilateral Combined forms of infantile and juvenile cataract, bilateral
08849 H26069  1 Combined forms of infantile and juvenile cataract, unsp eye  Combined forms of infantile and juvenile cataract, unspecified eye
08850 H2609   1 Other infantile and juvenile cataract                        Other infantile and juvenile cataract
08851 H261    0 Traumatic cataract                                           Traumatic cataract
08852 H2610   0 Unspecified traumatic cataract                               Unspecified traumatic cataract
08853 H26101  1 Unspecified traumatic cataract, right eye                    Unspecified traumatic cataract, right eye
08854 H26102  1 Unspecified traumatic cataract, left eye                     Unspecified traumatic cataract, left eye
08855 H26103  1 Unspecified traumatic cataract, bilateral                    Unspecified traumatic cataract, bilateral
08856 H26109  1 Unspecified traumatic cataract, unspecified eye              Unspecified traumatic cataract, unspecified eye
08857 H2611   0 Localized traumatic opacities                                Localized traumatic opacities
08858 H26111  1 Localized traumatic opacities, right eye                     Localized traumatic opacities, right eye
08859 H26112  1 Localized traumatic opacities, left eye                      Localized traumatic opacities, left eye
08860 H26113  1 Localized traumatic opacities, bilateral                     Localized traumatic opacities, bilateral
08861 H26119  1 Localized traumatic opacities, unspecified eye               Localized traumatic opacities, unspecified eye
08862 H2612   0 Partially resolved traumatic cataract                        Partially resolved traumatic cataract
08863 H26121  1 Partially resolved traumatic cataract, right eye             Partially resolved traumatic cataract, right eye
08864 H26122  1 Partially resolved traumatic cataract, left eye              Partially resolved traumatic cataract, left eye
08865 H26123  1 Partially resolved traumatic cataract, bilateral             Partially resolved traumatic cataract, bilateral
08866 H26129  1 Partially resolved traumatic cataract, unspecified eye       Partially resolved traumatic cataract, unspecified eye
08867 H2613   0 Total traumatic cataract                                     Total traumatic cataract
08868 H26131  1 Total traumatic cataract, right eye                          Total traumatic cataract, right eye
08869 H26132  1 Total traumatic cataract, left eye                           Total traumatic cataract, left eye
08870 H26133  1 Total traumatic cataract, bilateral                          Total traumatic cataract, bilateral
08871 H26139  1 Total traumatic cataract, unspecified eye                    Total traumatic cataract, unspecified eye
08872 H262    0 Complicated cataract                                         Complicated cataract
08873 H2620   1 Unspecified complicated cataract                             Unspecified complicated cataract
08874 H2621   0 Cataract with neovascularization                             Cataract with neovascularization
08875 H26211  1 Cataract with neovascularization, right eye                  Cataract with neovascularization, right eye
08876 H26212  1 Cataract with neovascularization, left eye                   Cataract with neovascularization, left eye
08877 H26213  1 Cataract with neovascularization, bilateral                  Cataract with neovascularization, bilateral
08878 H26219  1 Cataract with neovascularization, unspecified eye            Cataract with neovascularization, unspecified eye
08879 H2622   0 Cataract secondary to ocular disorders (inflammatory)        Cataract secondary to ocular disorders (degenerative) (inflammatory)
08880 H26221  1 Cataract secondary to ocular disorders, right eye            Cataract secondary to ocular disorders (degenerative) (inflammatory), right eye
08881 H26222  1 Cataract secondary to ocular disorders, left eye             Cataract secondary to ocular disorders (degenerative) (inflammatory), left eye
08882 H26223  1 Cataract secondary to ocular disorders, bilateral            Cataract secondary to ocular disorders (degenerative) (inflammatory), bilateral
08883 H26229  1 Cataract secondary to ocular disorders, unsp eye             Cataract secondary to ocular disorders (degenerative) (inflammatory), unspecified eye
08884 H2623   0 Glaucomatous flecks (subcapsular)                            Glaucomatous flecks (subcapsular)
08885 H26231  1 Glaucomatous flecks (subcapsular), right eye                 Glaucomatous flecks (subcapsular), right eye
08886 H26232  1 Glaucomatous flecks (subcapsular), left eye                  Glaucomatous flecks (subcapsular), left eye
08887 H26233  1 Glaucomatous flecks (subcapsular), bilateral                 Glaucomatous flecks (subcapsular), bilateral
08888 H26239  1 Glaucomatous flecks (subcapsular), unspecified eye           Glaucomatous flecks (subcapsular), unspecified eye
08889 H263    0 Drug-induced cataract                                        Drug-induced cataract
08890 H2630   1 Drug-induced cataract, unspecified eye                       Drug-induced cataract, unspecified eye
08891 H2631   1 Drug-induced cataract, right eye                             Drug-induced cataract, right eye
08892 H2632   1 Drug-induced cataract, left eye                              Drug-induced cataract, left eye
08893 H2633   1 Drug-induced cataract, bilateral                             Drug-induced cataract, bilateral
08894 H264    0 Secondary cataract                                           Secondary cataract
08895 H2640   1 Unspecified secondary cataract                               Unspecified secondary cataract
08896 H2641   0 Soemmering's ring                                            Soemmering's ring
08897 H26411  1 Soemmering's ring, right eye                                 Soemmering's ring, right eye
08898 H26412  1 Soemmering's ring, left eye                                  Soemmering's ring, left eye
08899 H26413  1 Soemmering's ring, bilateral                                 Soemmering's ring, bilateral
08900 H26419  1 Soemmering's ring, unspecified eye                           Soemmering's ring, unspecified eye
08901 H2649   0 Other secondary cataract                                     Other secondary cataract
08902 H26491  1 Other secondary cataract, right eye                          Other secondary cataract, right eye
08903 H26492  1 Other secondary cataract, left eye                           Other secondary cataract, left eye
08904 H26493  1 Other secondary cataract, bilateral                          Other secondary cataract, bilateral
08905 H26499  1 Other secondary cataract, unspecified eye                    Other secondary cataract, unspecified eye
08906 H268    1 Other specified cataract                                     Other specified cataract
08907 H269    1 Unspecified cataract                                         Unspecified cataract
08908 H27     0 Other disorders of lens                                      Other disorders of lens
08909 H270    0 Aphakia                                                      Aphakia
08910 H2700   1 Aphakia, unspecified eye                                     Aphakia, unspecified eye
08911 H2701   1 Aphakia, right eye                                           Aphakia, right eye
08912 H2702   1 Aphakia, left eye                                            Aphakia, left eye
08913 H2703   1 Aphakia, bilateral                                           Aphakia, bilateral
08914 H271    0 Dislocation of lens                                          Dislocation of lens
08915 H2710   1 Unspecified dislocation of lens                              Unspecified dislocation of lens
08916 H2711   0 Subluxation of lens                                          Subluxation of lens
08917 H27111  1 Subluxation of lens, right eye                               Subluxation of lens, right eye
08918 H27112  1 Subluxation of lens, left eye                                Subluxation of lens, left eye
08919 H27113  1 Subluxation of lens, bilateral                               Subluxation of lens, bilateral
08920 H27119  1 Subluxation of lens, unspecified eye                         Subluxation of lens, unspecified eye
08921 H2712   0 Anterior dislocation of lens                                 Anterior dislocation of lens
08922 H27121  1 Anterior dislocation of lens, right eye                      Anterior dislocation of lens, right eye
08923 H27122  1 Anterior dislocation of lens, left eye                       Anterior dislocation of lens, left eye
08924 H27123  1 Anterior dislocation of lens, bilateral                      Anterior dislocation of lens, bilateral
08925 H27129  1 Anterior dislocation of lens, unspecified eye                Anterior dislocation of lens, unspecified eye
08926 H2713   0 Posterior dislocation of lens                                Posterior dislocation of lens
08927 H27131  1 Posterior dislocation of lens, right eye                     Posterior dislocation of lens, right eye
08928 H27132  1 Posterior dislocation of lens, left eye                      Posterior dislocation of lens, left eye
08929 H27133  1 Posterior dislocation of lens, bilateral                     Posterior dislocation of lens, bilateral
08930 H27139  1 Posterior dislocation of lens, unspecified eye               Posterior dislocation of lens, unspecified eye
08931 H278    1 Other specified disorders of lens                            Other specified disorders of lens
08932 H279    1 Unspecified disorder of lens                                 Unspecified disorder of lens
08933 H28     1 Cataract in diseases classified elsewhere                    Cataract in diseases classified elsewhere
